arc,n_samples,method,time_s,metric_name,metric,failed,regime,n_bezier
124->125,542,johnson_mle,0.05261210596654564,nll,-2460.816049698563,False,rush_hour,10
124->453,542,bezier_mle,0.013389427971560508,nll,-2305.412954559065,False,rush_hour,10
124->453,542,gen_beta_mle,0.024415710009634495,nll,-2305.1054135238846,False,rush_hour,10
124->453,542,johnson_mle,0.09433221304789186,nll,-2300.799046867791,False,rush_hour,10
125->124,542,bezier_mle,0.08093746699159965,nll,-2379.306305819945,False,rush_hour,10
125->124,542,gen_beta_mle,0.056272648042067885,nll,-2447.3687477823996,False,rush_hour,10
125->124,542,johnson_mle,0.029772584966849536,nll,-2461.529729981118,False,rush_hour,10
125->429,542,bezier_mle,0.11871996498666704,nll,-2318.572532162187,False,rush_hour,10
125->429,542,gen_beta_mle,0.07016982400091365,nll,-2418.0187677917165,False,rush_hour,10
125->429,542,johnson_mle,0.04334172903327271,nll,-2430.360078748909,False,rush_hour,10
126->343,542,bezier_mle,0.11337416502647102,nll,-2301.2347688714362,False,rush_hour,10
126->343,542,gen_beta_mle,0.06723523902473971,nll,-2300.132761497658,False,rush_hour,10
126->343,542,johnson_mle,0.07818364299600944,nll,-2298.895059377495,False,rush_hour,10
126->464,542,bezier_mle,0.10566741699585691,nll,-2166.7192021472465,False,rush_hour,10
126->464,542,gen_beta_mle,0.0588707440183498,nll,-2176.8248697861163,False,rush_hour,10
126->464,542,johnson_mle,0.0947236399515532,nll,-2177.152031514959,False,rush_hour,10
127->17,542,bezier_mle,0.08342649094993249,nll,-2504.8050315707396,False,rush_hour,10
127->17,542,gen_beta_mle,0.07358270301483572,nll,-2601.0153389766906,False,rush_hour,10
127->17,542,johnson_mle,0.033252927009016275,nll,-2639.6107284990735,False,rush_hour,10
127->471,542,bezier_mle,0.08137046702904627,nll,-2510.4175151406102,False,rush_hour,10
127->471,542,gen_beta_mle,0.046233304019551724,nll,-2516.4349793712845,False,rush_hour,10
127->471,542,johnson_mle,0.10117412201361731,nll,-2507.880115490472,False,rush_hour,10
128->357,542,bezier_mle,0.12711097800638527,nll,-2272.208427944649,False,rush_hour,10
128->357,542,gen_beta_mle,0.07002319797175005,nll,-2301.9818887548117,False,rush_hour,10
128->357,542,johnson_mle,0.03208119695773348,nll,-2362.728204312644,False,rush_hour,10
128->465,542,bezier_mle,0.011061811004765332,nll,-2485.2246211614993,False,rush_hour,10
128->465,542,gen_beta_mle,0.066736770037096,nll,-2406.071640728095,False,rush_hour,10
128->465,542,johnson_mle,0.028129241021815687,nll,-2441.0277423678103,False,rush_hour,10
129->160,542,bezier_mle,0.09752830700017512,nll,-2190.3328034746155,False,rush_hour,10
129->160,542,gen_beta_mle,0.06804074498359114,nll,-2196.384402536836,False,rush_hour,10
129->160,542,johnson_mle,0.044150106026791036,nll,-2208.996943748222,False,rush_hour,10
129->511,542,bezier_mle,0.14196175598772243,nll,-2136.2308912555764,False,rush_hour,10
129->511,542,gen_beta_mle,0.07514621503651142,nll,-2144.4560384953734,False,rush_hour,10
129->511,542,johnson_mle,0.029313123028259724,nll,-2150.3688461645843,False,rush_hour,10
13->530,542,bezier_mle,0.02296247601043433,nll,-2068.391483145267,False,rush_hour,10
