n,rep,m,status,MSE,sup,l2,time_ms
13,1,3380,ok,2.0399076153842725e-05,0.015107836362056815,0.007484973428046632,79.86645300115924
13,2,3380,attempt,,,,
13,2,3380,ok,1.9326816423318952e-05,0.013386587687974238,0.006309787547577978,77.7525130106369
13,3,3380,attempt,,,,
13,3,3380,ok,1.5507308133264664e-05,0.011239036287573112,0.005759405389837791,78.95818700490054
13,4,3380,attempt,,,,
13,4,3380,ok,1.9316669189502734e-05,0.020520123090698672,0.009596977827715448,76.13985000352841
13,5,3380,attempt,,,,
13,5,3380,ok,1.3627848398653243e-05,0.023798743456378835,0.010883164957011403,80.18438798899297
13,6,3380,attempt,,,,
13,6,3380,ok,2.2110921377663822e-05,0.0200628337087852,0.009720999975730322,75.51280398911331
13,7,3380,attempt,,,,
13,7,3380,ok,1.4730489573892575e-05,0.015572419618309019,0.008033859110099132,79.28062899736688
13,8,3380,attempt,,,,
13,8,3380,ok,2.3132318719927767e-05,0.022466817391962768,0.011838654868859242,74.89504700060934
13,9,3380,attempt,,,,
13,9,3380,ok,1.1504455350500153e-05,0.013844079956529809,0.006069148396806788,75.86950199038256
16,0,5120,attempt,,,,
16,0,5120,ok,1.0121617702730054e-05,0.016353576628603816,0.00771617977039853,126.75700600084383
16,1,5120,attempt,,,,
16,1,5120,ok,7.985904641272708e-06,0.014243305192638056,0.007244826315771073,130.84745800006203
16,2,5120,attempt,,,,
16,2,5120,ok,1.1986216735371072e-05,0.013411858684817313,0.005058391559631523,136.14677799341734
16,3,5120,attempt,,,,
16,3,5120,ok,9.145822368124249e-06,0.010276013462697575,0.005381267529997349,126.6149329894688
16,4,5120,attempt,,,,
16,4,5120,ok,1.4590514484026786e-05,0.013410452599946332,0.005686563629292792,127.11383399437182
16,5,5120,attempt,,,,
16,5,5120,ok,1.2397474948864297e-05,0.012053523928118648,0.0066534669345904626,126.31752999732271
16,6,5120,attempt,,,,
16,6,5120,ok,1.0764349111473607e-05,0.02678965938284894,0.014045314885897053,125.16056699678302
16,7,5120,attempt,,,,
16,7,5120,ok,1.1405400875035298e-05,0.011069130616905065,0.00522533738634131,126.34291900030803
16,8,5120,attempt,,,,
16,8,5120,ok,1.230764532961277e-05,0.01414231782454256,0.005412462151799452,134.1412460024003
16,9,5120,attempt,,,,
16,9,5120,ok,1.2149337482969464e-05,0.019724188098665163,0.00875139237782269,125.63222700555343
19,0,7220,attempt,,,,
19,0,7220,ok,5.586841714738966e-06,0.010923329356449796,0.005148307974506317,193.64779999887105
19,1,7220,attempt,,,,
19,1,7220,ok,5.740069211832082e-06,0.015073660172671977,0.00901115199504877,206.42003099783324
19,2,7220,attempt,,,,
19,2,7220,ok,7.5573032783152215e-06,0.013911072682918801,0.007451639732697087,205.0564340024721
19,3,7220,attempt,,,,
19,3,7220,ok,6.573803319382578e-06,0.009074387551837704,0.00398604096264151,221.8973900016863
19,4,7220,attempt,,,,
19,4,7220,ok,5.9634513580510995e-06,0.008673764722740951,0.0038632135733738114,206.50555900647305
19,5,7220,attempt,,,,
19,5,7220,ok,5.130739176001043e-06,0.014925926258701483,0.006655722182229315,206.75474300514907
19,6,7220,attempt,,,,
19,6,7220,ok,5.150940383384565e-06,0.008796331276745062,0.0034942269804769137,199.63929800724145
19,7,7220,attempt,,,,
